2042		202 41st St.	St. John	Night	PA	U.S.A.	49660	5664737910	x4957	P
2043		81 52nd Ave.	Maple Lake	Quark	AL	U.S.A.	21460	2227655999	x540	P
2044		771 72nd Ave.	Hillside	Tiger	AR	U.S.A.	42620	3402044584	x303	P
2045		03984 84th St.	Birch City	Green	KY	U.S.A.	40020	1-(800)4441007	x51944	P
2046		0793 48th St.	Pegasus	Pink	WI	U.S.A.	33340	3766764814	x79082	P
2047		2988 84th St.	Sunnydale	Squirrel	AL	U.S.A.	21460	2226091472	x033	P
2048		151 29th St.	Maple City	Silver	WI	U.S.A.	12660	3585346208	x5438	P
2049		216 92nd St.	Pine City	Day	CA	U.S.A.	41860	4883020395	x953	P
2050		81524 29th St.	Maple Lake	Brown	SC	U.S.A.	23500	1-(800)7495022	x246	P
2051		35821 69th Ave.	Hamburg	Spade	IN	U.S.A.	12140	2587122646	x7181	P
2052		22 17th St.	Venice	Blue	OH	U.S.A.	46500	2126884776	x20504	P
2053		44600 68th Ave.	Venice	Aries	MS	U.S.A.	25060	2749494762	x01415	P
2054		45060 17th St.	St. Mark	Venus	MD	U.S.A.	30500	1-(800)8940134	x77962	P
2055		5847 Muskie Ave.	Venice	Ten	PA	U.S.A.	49660	5669034143	x634	P
2056		84 67th Ave.	Orange River	Simple	AL	U.S.A.	19300	1-(800)2135781	x15867	P
2057		74727 Birch Blvd.	Littleton	Grey	TX	U.S.A.	32220	1-(800)8201164	x05158	P
2058		082 Mendelssohn Ave.	Fredricksburg	Charm	OH	U.S.A.	17460	1847124812	x664	P
2059		57328 11th St.	Apple River	Pink	AL	U.S.A.	12220	1945269234	x70101	P
2060		45 43rd Ave.	Smallville	Night	AL	U.S.A.	19300	3809497367	x785	P
2061		650 87th St.	Ridgevile	Island	TX	U.S.A.	27380	5406047354	x4647	P
2062		998 Yellow St.	Fredricksburg	Charm	TX	U.S.A.	28780	2042544171	x2313	P
2063		87834 Handel Ave.	Smallville	Wombat	LA	U.S.A.	35380	4066737868	x199	P
2064		1808 63rd St.	Metropolis	Purple	OH	U.S.A.	17460	1846110748	x518	P
2065		398 89th St.	Mountain View	Purple	MA	U.S.A.	14460	1486736917	x7927	P
2066		5679 10th St.	Largeville	Strange	AR	U.S.A.	30780	3407856808	x88177	P
2067		0251 48th Ave.	Phoenix	Zebra	OK	U.S.A.	46140	5389077660	x468	P
2068		00259 Green St.	Little Forest	Orange	IL	U.S.A.	28100	1-(800)7331868	x026	P
2069		43 87th St.	Kerry	Neptune	PA	U.S.A.	25420	1-(800)2104606	x7800	P
2070		482 28th Ave.	Pine River	Neptune	OH	U.S.A.	20620	1-(800)6694293	x2474	P
2071		4704 90th Ave.	Brookdale	Wombat	IN	U.S.A.	29140	3206865296	x937	P
2072		71048 30th Ave.	Maryville	Saturn	TX	U.S.A.	33420	2067424206	x1251	P
2073		0875 Shopin St.	Sunnyville	Deer	MS	U.S.A.	27140	2989314710	x08160	P
2074		10646 21st St.	Maple River	Pluto	OH	U.S.A.	24820	2127193274	x15411	P
2075		706 Willow Rd.	San Bernardino	Spade	CA	U.S.A.	40140	3488941390	x093	P
2076		731 50th St.	Applewood	Heart	NC	U.S.A.	24660	2688934569	x156	P
2077		20031 63rd Ave.	Maple Field	Diamond	WI	U.S.A.	31540	1-(800)9833224	x22856	P
2078		65044 Schumann St.	Maplewood	Wombat	GA	U.S.A.	29300	1228083934	x4274	P
2079		47 39th Ave.	River View	Jack	SC	U.S.A.	46420	1-(800)9608168	x47097	P
2080		874 17th St.	Lake View	Diamond	GA	U.S.A.	12060	1-(800)5643641	x36600	P
2081		143 Carrot Ave.	Dublin	Strange	TN	U.S.A.	16860	1742774880	x5772	P
2082		70 Sunfish Ln.	Brighton	Aardvark	MN	U.S.A.	39860	3785412226	x12421	P
2083		067 79th St.	Riverdale	Worm	NC	U.S.A.	41580	1724793772	x9886	P
2084		42866 31st St.	Wormwood	Shark	MD	U.S.A.	30500	5483312300	x476	P
2085		20681 78th St.	Wormwood	Zebra	GA	U.S.A.	12060	1226249964	x22448	P
2086		9289 74th St.	Birchwood	Dolphin	OH	U.S.A.	17140	1784353222	x8490	P
2087		91746 81st Ave.	Pine Lake	Joker	TX	U.S.A.	31180	3526599478	x128	P
2088	D30000	82 Red St.	Mediumville	Strange	WI	U.S.A.	33340-2097	3764446677	x09796	C
2089	D30000	574 38th St.	Apple River	Shark	UT	U.S.A.	36260-7644	1-(800)5535644	x33	D
2090	D30000	15126 34th St.	Rosewood	Squirrel	AL	U.S.A.	46740-0274	1225084267	x55825	C
2091	D30000	0295 21st St.	St. James	Simple	OH	U.S.A.	10420-3162	1843134929	x89428	D
2092	D30000	10590 17th Ave.	Laketown	Mercury	NC	U.S.A.	16740-8582	1725385359	x15	D
2093	D30000	590 Dvorak Rd.	Pine River	Deer	CA	U.S.A.	41940-8541	4887305311	x80725	D
2094	D30000	724 Beige St.	Little Field	Joker	ID	U.S.A.	13940-5072	2926990337	x43322	D
2095	D30000	62 43rd St.	River View	Heart	IN	U.S.A.	26540-8904	2587655847	x56	D
2096	D30000	76452 24th St.	Johnsonville	Brown	SC	U.S.A.	24860-2376	2728855286	x54037	C
2097	D30000	9318 6th Ave.	St. James	Shark	UT	U.S.A.	36260-9041	4827299464	x35	D
2098	D30000	8074 66th Ave.	Kenner	Night	LA	U.S.A.	35380-5215	4066947871	x36039	D
2099	D30000	80505 20th St.	Wormwood	Ten	UT	U.S.A.	14940-9741	4825669584	x523	D
2100	D30000	02466 30th Ave.	Brighton	Worm	TN	U.S.A.	34100-5511	3924526554	x9273	C
2101	D30000	074 39th St.	Venice	Ten	PA	U.S.A.	30820-9951	5584139249	x70827	D
2102	D30000	94555 87th St.	Phoenix	Heart	NY	U.S.A.	45060-3668	5328423779	x0077	D
2103	D30000	360 64th Ave.	Kerry	Deer	WA	U.S.A.	36500-2212	5003778853	x27	D
2104	D30000	50 73rd St.	Kankakee	Club	IL	U.S.A.	28100-6398	1765604126	x68715	D
2105	D30000	98834 27th Ave.	River View	Mars	CA	U.S.A.	40140-5006	3486528303	x301	D
2106	D30000	73307 1st Ave.	Little Field	Venus	MN	U.S.A.	33460-4099	3783072344	x74	D
2107	D30000	0009 81st Ave.	Phoenix	Ferret	WI	U.S.A.	13180-0330	1-(800)2229363	x59610	C
2108	D30000	393 89th Ave.	Elmwood	Mongoose	NH	U.S.A.	29060-0736	1485216260	x85	D
2109	D30000	771 Suppe St.	Forest Lake	Saturn	IN	U.S.A.	19540-0696	2584571884	x1049	D
2110	D30000	448 Redwood Pl.	Wormwood	Strange	CO	U.S.A.	19740-9087	2169092404	x2389	D
2111	D30000	955 71st St.	Elmdale	Jack	KY	U.S.A.	34460-6210	3364480409	x88	D
2112	D30000	571 82nd Ave.	Maple Field	Gorilla	TN	U.S.A.	42940-8317	1-(800)5713737	x82	D
2113	D30000	98 Blue Spruce Dr.	Littleton	Shark	UT	U.S.A.	36260-2242	4824528662	x7593	D
2114	D30000	83034 58th St.	Harrisville	Charm	GA	U.S.A.	31420-1697	3565126577	x678	C
2115	D30000	288 Birch Blvd.	St. John	Strange	MI	U.S.A.	29620-0058	3307186708	x708	D
2116	D30000	0601 42nd St.	Greenville	Sagittarius	OH	U.S.A.	24820-1650	2124035864	x055	D
2117	D30000	43453 69th St.	Laketown	Mongoose	NJ	U.S.A.	35620-9699	4087160368	x6334	D
2118	D30000	9098 Bizet Blvd.	Brighton	Aardvark	MN	U.S.A.	26780-8888	3782967262	x6738	C
2119	D30000	58367 Smaug St.	Mountain View	Zebra	LA	U.S.A.	35380-3386	4062051190	x02	D
2120	D30000	01570 32nd St.	Maple Lake	Island	IN	U.S.A.	18820-4455	2949875643	x30886	D
2121	D30000	351 Oak Ave.	Ridgevile	Wombat	DE	U.S.A.	37980-9003	4289434239	x487	D
2122	D30000	062 Schubert St.	Johnsonville	Rose	PA	U.S.A.	30260-6579	5266491393	x863	D
2123	D30000	249 Sunfish Ln.	Lake View	Mercury	VA	U.S.A.	47900-5128	5484421779	x330	D
2124	D30000	7036 White St.	Kerry	Pisces	NH	U.S.A.	31700-1909	1487416304	x63	D
2125	D30000	158 5th St.	Riverdale	Wombat	OK	U.S.A.	43060-5299	4165228528	x701	D
2126	D30000	14 Mauve St.	Birch City	Joker	SC	U.S.A.	17900-2052	1922282798	x42286	C
2127	D30000	4969 Schubert St.	Lilly View	Worm	IN	U.S.A.	18020-8819	1-(800)4623666	x5230	D
2128	D30000	19 88th Ave.	Maple City	Aardvark	TN	U.S.A.	42940-1269	3149588815	x3191	D
2129	D30000	5203 20th St.	Phoenix	Queen	GA	U.S.A.	42340-3913	4963959348	x620	D
2130	D30000	116 Bluegill Rd.	Venice	Rose	SC	U.S.A.	42860-4108	2724624574	x11841	D
2131	D30000	720 69th Ave.	Oaktown	Wombat	NC	U.S.A.	30740-7861	1729886508	x62	D
2132	D30000	749 18th Ave.	Fredricksburg	Sagittarius	CA	U.S.A.	41860-2576	1-(800)5122191	x9245	D
2133	D30000	18594 16th Ave.	St. John	Ferret	KS	U.S.A.	48620-9023	5567159351	x19	D
2134	D30000	65 94th St.	Little Rock	Pink	WI	U.S.A.	39540-8603	3768623858	x540	C
2135	D30000	8335 17th Ave.	Forest Lake	Bear	NJ	U.S.A.	37980-0318	1-(800)7643655	x73010	D
2136	D30000	1085 76th St.	Hillside	Joker	KY	U.S.A.	34460-7742	1-(800)3874136	x129	D
2137	D30000	60 15th Ave.	Martyville	Charm	OH	U.S.A.	17060-3902	1983827284	x1322	C
2138	D30000	43538 28th Ave.	Brookdale	Jupiter	ID	U.S.A.	26820-7360	2922860554	x74705	D
2139	D30000	507 Blue Spruce Dr.	Overbrook	Mars	WV	U.S.A.	17220-8964	2424840221	x6472	D
2140	D30000	218 Blue Spruce Dr.	London	Diamond	OH	U.S.A.	20620-2192	5664952886	x223	D
2141	D30000	599 68th Ave.	Metropolis	Purple	CA	U.S.A.	40900-5363	1-(800)7384226	x9743	C
2142	D30000	48319 97th St.	St. James	Tiger	MI	U.S.A.	29620-0721	3306390670	x725	D
2143	D30000	84234 61st Ave.	Phoenix	King	IL	U.S.A.	16020-9140	1644082670	x2108	D
2144	D30000	6321 34th St.	Littleville	Sagittarius	KY	U.S.A.	34460-6240	3363888506	x17446	D
2145	D30000	71913 60th Ave.	Martyburg	Green	NC	U.S.A.	16740-1332	1-(800)4959866	x94344	D
2146	D30000	92396 72nd Ave.	Sunnydale	Heart	TX	U.S.A.	30980-9508	3466340302	x82159	D
2147	D30000	1259 7th St.	Huntsville	Mongoose	TX	U.S.A.	26660-8245	2887330560	x6934	C
2148	D30000	38224 62nd Ave.	Brookdale	Queen	OH	U.S.A.	23380-5479	5345236564	x56070	D
2149	D30000	14 40th Ave.	Littleville	Heart	NY	U.S.A.	45060-3058	5324797626	x10	D
2150	D30000	541 56th St.	Maplewood	Neptune	MI	U.S.A.	19820-2355	2202597351	x1365	D
2151	D30000	49 60th St.	Pine City	Deer	WA	U.S.A.	14740-1958	5002927647	x096	D
2152	D30000	628 77th St.	Apple River	Heart	WA	U.S.A.	36500-3878	5009635930	x0941	D
2153	D30000	72 Offenbach St.	Maple Lake	Aardvark	LA	U.S.A.	36660-9771	3182500874	x8678	D
2154	D30000	33860 9th St.	Little Rock	Zebra	MS	U.S.A.	25060-5700	2749021661	x59075	C
2155	D30000	4979 9th Ave.	Morristown	Pink	TN	U.S.A.	34100-6144	3926534911	x4506	D
2156	D30000	39212 87th St.	Derry	Mars	CA	U.S.A.	31100-0940	3486832397	x95300	D
2157	D30000	7210 84th Ave.	Johnsonville	Day	NV	U.S.A.	23820-9600	4727716392	x17	D
2158	D30000	88090 Blue Spruce Dr.	Thompsonville	Saturn	LA	U.S.A.	14220-3700	4069325470	x86995	C
2159	D30000	8822 92nd Ave.	Little Rock	Ten	AR	U.S.A.	30780-0354	3405674648	x566	D
2160	D30000	32242 26th Ave.	Brookdale	Aardvark	VA	U.S.A.	49020-8706	5487336651	x794	C
2161	D30000	79 24th St.	Sunnyville	Spade	CA	U.S.A.	46700-3732	4882892219	x20720	D
2162	D30001	93941 48th Ave.	Pine City	Venus	LA	U.S.A.	35380-9289	1-(800)8008695	x577	C
2163	D30001	62679 18th St.	Hamburg	Dolphin	OH	U.S.A.	34540-8306	1-(800)9891149	x9666	D
2164	D30001	2282 59th Ave.	Oakland	Spade	CA	U.S.A.	41860-4187	4886787871	x64980	C
2165	D30001	765 Blue Spruce Dr.	Valley View	Queen	NC	U.S.A.	16740-3201	1727796884	x307	D
2166	D30001	42 12nd Ave.	Cherry River	Diamond	TN	U.S.A.	34100-0713	1-(800)6467800	x585	D
2167	D30001	849 Shopin St.	Pegasus	Jack	AR	U.S.A.	38220-9331	3402202851	x64	D
2168	D30001	32030 90th Ave.	River City	Deer	MI	U.S.A.	26100-7871	2663505618	x919	C
2169	D30001	13 69th St.	Martyville	Monkey	TX	U.S.A.	18580-1674	2043544023	x64	D
2170	D30001	299 13rd Ave.	St. James	Brown	AL	U.S.A.	13820-8718	1429851361	x9509	D
2171	D30001	917 Orange St.	St. Mark	Taurus	WI	U.S.A.	36780-7799	1188972649	x65466	C
2172	D30001	31689 40th St.	Thompsonville	Green	MI	U.S.A.	19820-8539	2203715239	x782	D
2173	D30001	45 16th Ave.	Little Forest	Simple	TX	U.S.A.	19100-0947	2067416392	x29594	C
2174	D30001	27 38th Ave.	Maple River	Green	SC	U.S.A.	16740-8238	1728030447	x73	D
2175	D30001	02669 White St.	Forest Lake	Club	NV	U.S.A.	29820-4405	3323549298	x3210	D
2176	D30001	70 78th St.	Ridgevile	Neptune	KY	U.S.A.	30460-5557	1-(800)7643958	x957	D
2177	D30001	14 66th St.	Apple River	Sagittarius	CA	U.S.A.	31100-1805	3486682867	x7567	D
2178	D30001	495 25th Ave.	Riverdale	Rose	LA	U.S.A.	33740-6452	1-(800)3691143	x44533	C
2179	D30001	5003 Yellow St.	Fredricksburg	Charm	TX	U.S.A.	11980-9409	2068035479	x58	D
2180	D30001	0563 48th Ave.	Martyburg	Zebra	GA	U.S.A.	25980-3998	4969201068	x001	D
2181	D30001	55 Green St.	Olympia	Pink	WA	U.S.A.	36500-6483	5007713450	x84	D
2182	D30001	96133 10th St.	Cherry River	Heart	TX	U.S.A.	15180-3015	1545400142	x55968	D
2183	D30001	16214 Tchaikovsky Ave.	Lilly View	Pink	TX	U.S.A.	15180-5125	1549982809	x995	D
2184	D30001	9645 12nd St.	Venice	Orange	AR	U.S.A.	30780-4727	3403037418	x6424	D
2185	D30001	7591 26th Ave.	Pine River	Blue	NC	U.S.A.	41580-0269	1729792024	x8412	C
2186	D30001	47167 Rossini Rd.	Pine River	Worm	TN	U.S.A.	34980-5611	4003168107	x50	D
2187	D30001	161 16th St.	Hampton	Joker	CA	U.S.A.	31100-1302	1-(800)6693042	x88472	C
2188	D30001	3018 55th Ave.	Lake City	Tiger	VA	U.S.A.	14980-2812	1-(800)3455982	x2400	D
2189	D30001	6870 25th Ave.	Maple River	Monkey	AL	U.S.A.	13820-2899	1-(800)8353952	x54425	D
2190	D30001	4738 88th St.	Largeville	Diamond	MI	U.S.A.	24340-7017	2665695470	x52	D
2191	D30001	907 22nd St.	Pine River	Jupiter	WI	U.S.A.	48140-7815	5549969931	x09458	D
2192	D30001	221 48th St.	Derry	Mars	CA	U.S.A.	40900-6142	4726830605	x523	D
2193	D30001	36717 70th Ave.	Cherry River	Charm	WI	U.S.A.	36780-2851	1-(800)7731984	x192	D
2194	D30001	103 21st St.	Littleton	Brown	NC	U.S.A.	49180-6732	2683271437	x8641	C
2195	D30001	11 95th Ave.	Johnsonville	Brown	SC	U.S.A.	34820-8343	3968849977	x3802	D
2196	D30001	9231 Main St.	Apple Lake	Mongoose	TN	U.S.A.	28700-7375	3046429928	x9864	D
2197	D30001	8503 31st St.	Sunnydale	Ten	GA	U.S.A.	22980-6182	3564888390	x02829	D
2198	D30001	6195 95th Ave.	St. James	Night	NM	U.S.A.	17580-1521	1884403011	x9273	C
2199	D30001	184 7th St.	Lake View	Club	MI	U.S.A.	24340-1051	2669010594	x6929	D
2200	D30001	881 16th Ave.	Orange River	Charm	SC	U.S.A.	29580-3229	1729597499	x88379	D
2201	D30001	815 92nd Ave.	Pinewood	Orange	MO	U.S.A.	16020-7765	1646133995	x57009	D
2202	D30001	70596 4th St.	River View	Wombat	TN	U.S.A.	27740-8522	1-(800)8341449	x6696	D
2203	D30001	913 Pink St.	River View	Wombat	GA	U.S.A.	12060-8849	1226637620	x63	D
2204	D30001	53 3rd St.	Henry	Club	WV	U.S.A.	21900-7070	2425693474	x82	D
2205	D30001	58902 22nd Ave.	Applewood	Dolphin	OH	U.S.A.	18140-8145	1-(800)3806019	x34	D
2206	D30001	9867 74th St.	Johnsonville	Simple	MO	U.S.A.	16020-4290	1648917058	x76863	C
2207	D30001	76674 Maroon St.	Pegasus	Neptune	KY	U.S.A.	37140-0622	1-(800)9503226	x17054	D
2208	D30001	988 Pine Blvd.	Fredricksburg	Aries	TN	U.S.A.	42940-4067	3144015702	x69908	D
2209	D30001	07798 78th St.	Pine City	Simple	WI	U.S.A.	39540-5720	3765176174	x19	D
2210	D30001	85849 78th St.	Little Forest	Gorilla	PA	U.S.A.	49620-8708	1-(800)2236019	x62	D
2211	D30001	4833 91st Ave.	St. Mark	Silver	MI	U.S.A.	13020-0910	4743354989	x529	D
2212	D30001	81 Banana Ave.	Maple Lake	Aries	KY	U.S.A.	37140-3281	4249238984	x4513	C
2213	D30001	92 86th Ave.	Rivertown	Ferret	CA	U.S.A.	42220-3036	4882967034	x39	D
2214	D30001	47 Wagner Ave.	Lilly View	Pink	AL	U.S.A.	33660-2855	3803916516	x02660	D
2215	D30001	72903 53rd St.	Mount Airy	Pluto	NC	U.S.A.	34340-7040	2687554511	x74	D
2216	D30001	24928 16th St.	London	Sagittarius	LA	U.S.A.	36660-8903	1-(800)5544539	x05	D
2217	D30001	4136 64th St.	Hillside	Shark	CA	U.S.A.	41860-2596	4883946519	x00102	D
2218	D30001	60 12nd Ave.	Hamburg	Orange	IL	U.S.A.	15900-6070	4262344411	x8970	D
2219	D30001	91 24th St.	Valley View	Venus	OH	U.S.A.	18140-3568	1989337537	x47950	C
2220	D30001	45 25th St.	Little Forest	Mercury	OH	U.S.A.	10420-2156	1845095922	x12243	D
2221	D30001	6818 11th Ave.	Paris	Aries	WA	U.S.A.	43220-5850	5007755841	x20897	D
2222	D30001	4383 98th St.	Hazzard	Ten	MO	U.S.A.	16020-3512	1-(800)9262886	x72181	D
2223	D30001	852 25th St.	Hamburg	Neptune	SC	U.S.A.	17900-3763	1923525763	x39	D
2224	D30001	94 3rd St.	Little Forest	Simple	TX	U.S.A.	39700-5563	1543221016	x8620	D
2225	D30001	6876 67th Ave.	St. Mark	Quark	PA	U.S.A.	48700-0098	5586508806	x64	D
2226	D30001	24972 15th Ave.	Martyburg	Green	NC	U.S.A.	49180-7774	1-(800)4753906	x625	D
2227	D30001	719 Smaug St.	East Liverpool	Sagittarius	OH	U.S.A.	20620-3915	5667500312	x6136	C
2228	D30001	1764 3rd Ave.	Martyburg	Green	NC	U.S.A.	44380-0422	1728353944	x7959	D
2229	D30001	46020 11th Ave.	Clovis	Deer	NM	U.S.A.	17580-0301	1886393879	x74	D
2230	D30001	466 97th Ave.	Pinewood	Jack	OK	U.S.A.	12780-5536	5386838278	x2620	D
2231	D30001	92872 66th Ave.	Derry	Spade	LA	U.S.A.	43340-8121	5087703724	x6850	D
2232	D30001	8257 72nd St.	Elmdale	Queen	IA	U.S.A.	14340-5813	1127991464	x4215	D
2233	D30001	309 3rd St.	Pinewood	Silver	GA	U.S.A.	12060-7039	1222831548	x89	D
2234	D30001	776 Redwood Pl.	Oshkosh	Blue	WI	U.S.A.	36780-1295	1-(800)9063261	x66003	C
2235	D30001	81396 61st St.	Hazzard	Pisces	MA	U.S.A.	49340-8724	1485339791	x721	D
2236	D30001	54 21st Ave.	Mountain View	Pisces	AR	U.S.A.	30780-4285	3407749186	x29	D
2237	D30001	222 36th St.	Lilly View	Pink	TX	U.S.A.	19100-0726	2066643797	x7752	D
2238	D30001	23 Haze St.	Newton	Pluto	IA	U.S.A.	35500-1328	2188874527	x3581	D
2239	D30001	13 43rd St.	Lake View	Green	MO	U.S.A.	47660-0733	3122243677	x986	D
2240	D30001	17 96th Ave.	Riverside	Spade	CA	U.S.A.	40140-5543	3486205348	x92725	D
2241	F30002	7291 28th Ave.	Riverdale	Bear	SC	U.S.A.	11340-1667	1-(800)7771977	x655	C
2242	F30002	103 26th Ave.	Gotham	Saturn	TX	U.S.A.	39700-4971	1-(800)8634432	x3838	D
2243	F30002	591 32nd St.	Norton Shores	Leo	MI	U.S.A.	34740-1573	2669623402	x95	D
2244	F30002	4163 54th St.	Henry	Diamond	MI	U.S.A.	40980-8534	1-(800)3122132	x88602	D
2245	F30002	2822 64th St.	St. John	Mercury	GA	U.S.A.	25980-4621	4968664620	x15215	D
2246	F30002	1187 48th St.	Sunnyville	Spade	CA	U.S.A.	42100-7978	4889906585	x761	C
2247	F30002	033 88th St.	Apple River	Taurus	WV	U.S.A.	36060-3639	1389636209	x03825	D
2248	F30002	1858 69th Ave.	Long Island	Heart	PA	U.S.A.	35620-6611	4082215349	x29221	D
2249	F30002	0238 75th Ave.	Lake City	Mongoose	CA	U.S.A.	31100-0284	3486002093	x99	D
2250	F30002	2778 52nd Ave.	St. James	Gorilla	NV	U.S.A.	29820-1400	1-(800)5232758	x8251	D
2251	F30002	7850 19th St.	Dublin	Taurus	NJ	U.S.A.	47220-2782	4289610026	x822	D
2252	F30002	63 77th Ave.	Baytown	Mongoose	TX	U.S.A.	26420-4171	2886978947	x580	D
2253	F30002	4745 Mahler Rd.	Gotham	Ten	PA	U.S.A.	44980-7795	1-(800)2818011	x37743	C
2254	F30002	02 89th Ave.	St. Francis	Night	MI	U.S.A.	19820-1667	2205883986	x795	D
2255	F30002	51 97th Ave.	Maplewood	Island	NC	U.S.A.	20500-4074	4502948191	x35328	D
2256	F30002	20 78th Ave.	Elmdale	Day	TX	U.S.A.	26420-7208	2886965568	x10	D
2257	F30002	3162 86th Ave.	River View	Dolphin	CT	U.S.A.	35300-8429	4089684085	x295	D
2258	F30002	4376 Muskie Ave.	Pine City	Ten	NJ	U.S.A.	35620-4787	4084779605	x90574	D
2259	F30002	22 55th Ave.	Gotham	Mercury	LA	U.S.A.	18940-7981	3187810450	x81379	D
2260	F30002	94 74th St.	Birch City	Taurus	CA	U.S.A.	31100-3523	1-(800)5769157	x29	D
2261	F30002	1398 7th Ave.	Forest Lake	Leo	MA	U.S.A.	14460-3087	1-(800)8537323	x399	C
2262	F30002	50031 90th Ave.	Overbrook	Club	MA	U.S.A.	14460-2277	1-(800)5040185	x995	D
2263	F30002	6236 Alabaster St.	Maple City	King	LA	U.S.A.	19760-8458	2568565078	x8190	D
2264	F30002	3466 2nd Ave.	Rosewood	Worm	MS	U.S.A.	37700-7012	2748949981	x94230	D
2265	F30002	841 72nd St.	Fredricksburg	Venus	GA	U.S.A.	12060-8328	1-(800)6866221	x526	D
2266	F30002	71 Green St.	Clarksburg	Pink	WV	U.S.A.	17220-1759	2424419322	x37	D
2267	F30002	57 82nd Ave.	Portales	Deer	NM	U.S.A.	38780-1278	1883258158	x492	D
2268	F30002	072 Smaug St.	Pine City	Zebra	IA	U.S.A.	14340-2746	1124132633	x073	D
2269	F30002	40 88th Ave.	Rome	Pink	GA	U.S.A.	47580-0943	1-(800)8718561	x16034	C
2270	F30002	995 32nd Ave.	Littleton	Squirrel	GA	U.S.A.	22980-3901	3567570647	x718	D
2271	F30002	978 32nd Ave.	Rome	Aries	OH	U.S.A.	45660-5996	2487515552	x351	D
2272	F30002	186 97th Ave.	Lake City	Spade	MI	U.S.A.	34740-5132	2663818531	x642	D
