1092	Bold Deep	The Bold Deep warehouse in Birch City,WV	1978-02-02	59	H4FB76KGAH
1093	Bold Sands	The Bold Sands warehouse in Thompsonville,PA	1977-05-26	56	HAKGAHGJFB
1094	Muddled Harbor	The Muddled Harbor warehouse in Littleton,AR	1989-10-11	41	HE4FA5DNFB
1095	Greater Pier	The Greater Pier warehouse in Lake View,OH	1975-11-27	54	HFBAAD1F75
1096	Muddled Cliff	The Muddled Cliff warehouse in Elmdale,CT	1982-09-02	41	HGF3A4HKAG
1097	Minor Pier	The Minor Pier warehouse in Little Forest,LA	1992-08-23	59	HGF667HKAF
1098	Lighter Cove	The Lighter Cove warehouse in Overbrook,NV	1976-11-28	71	JFBHAGKGAH
1099	Rising Glen	The Rising Glen warehouse in Maple Lake,TX	1990-01-22	68	M1265AFDFG
1100	Greater Cavern	The Greater Cavern warehouse in Apple Lake,KY	1971-08-28	64	MG68AA12AA
1101	Diamond Hollow	The Diamond Hollow warehouse in Lake City,GA	1989-12-10	55	MGFBFA1N23
1102	United Mountain	The United Mountain warehouse in Ridgevile,NY	1996-04-19	59	NFBHED4FA5
