312	Kansas City-Overland Park-Kansas City, MO-KS	A description of the Kansas City-Overland Park-Kansas City, MO-KS MSA	1901070
314	Knoxville-Sevierville-La Follette, TN	A description of the Knoxville-Sevierville-La Follette, TN MSA	779013
316	Kokomo-Peru, IN	A description of the Kokomo-Peru, IN MSA	137623
318	Lafayette-Acadiana, LA	A description of the Lafayette-Acadiana, LA MSA	512720
320	Lafayette-Frankfort, IN	A description of the Lafayette-Frankfort, IN MSA	212407
324	Lake Charles-Jennings, LA	A description of the Lake Charles-Jennings, LA MSA	225003
330	Lansing-East Lansing-Owosso, MI	A description of the Lansing-East Lansing-Owosso, MI MSA	519415
332	Las Vegas-Paradise-Pahrump, NV	A description of the Las Vegas-Paradise-Pahrump, NV MSA	1408250
336	Lexington-Fayette--Frankfort--Richmond, KY	A description of the Lexington-Fayette--Frankfort--Richmond, KY MSA	602773
340	Little Rock-North Little Rock-Pine Bluff, AR	A description of the Little Rock-North Little Rock-Pine Bluff, AR MSA	785024
346	Longview-Marshall, TX	A description of the Longview-Marshall, TX MSA	256152
348	Los Angeles-Long Beach-Riverside, CA	A description of the Los Angeles-Long Beach-Riverside, CA MSA	16373645
350	Louisville-Elizabethtown-Scottsburg, KY-IN	A description of the Louisville-Elizabethtown-Scottsburg, KY-IN MSA	1292482
352	Lubbock-Levelland, TX	A description of the Lubbock-Levelland, TX MSA	272416
354	Lumberton-Laurinburg, NC	A description of the Lumberton-Laurinburg, NC MSA	159337
356	Macon-Warner Robins-Fort Valley, GA	A description of the Macon-Warner Robins-Fort Valley, GA MSA	356801
358	Madison-Baraboo, WI	A description of the Madison-Baraboo, WI MSA	556999
360	Mansfield-Bucyrus, OH	A description of the Mansfield-Bucyrus, OH MSA	175818
376	Milwaukee-Racine-Waukesha, WI	A description of the Milwaukee-Racine-Waukesha, WI MSA	1689572
378	Minneapolis-St. Paul-St. Cloud, MN-WI	A description of the Minneapolis-St. Paul-St. Cloud, MN-WI MSA	3271888
380	Mobile-Daphne-Fairhope, AL	A description of the Mobile-Daphne-Fairhope, AL MSA	540258
384	Monroe-Bastrop, LA	A description of the Monroe-Bastrop, LA MSA	201074
392	Morristown-Newport, TN	A description of the Morristown-Newport, TN MSA	156646
396	Myrtle Beach-Conway-Georgetown, SC	A description of the Myrtle Beach-Conway-Georgetown, SC MSA	252426
400	Nashville-Davidson--Murfreesboro--Columbia, TN	A description of the Nashville-Davidson--Murfreesboro--Columbia, TN MSA	1381287
406	New Orleans-Metairie-Bogalusa, LA	A description of the New Orleans-Metairie-Bogalusa, LA MSA	1360436
408	New York-Newark-Bridgeport, NY-NJ-CT-PA	A description of the New York-Newark-Bridgeport, NY-NJ-CT-PA MSA	21361797
416	Oklahoma City-Shawnee, OK	A description of the Oklahoma City-Shawnee, OK MSA	1160942
420	Omaha-Council Bluffs-Fremont, NE-IA	A description of the Omaha-Council Bluffs-Fremont, NE-IA MSA	803201
422	Orlando-The Villages, FL	A description of the Orlando-The Villages, FL MSA	1697906
424	Paducah-Mayfield, KY-IL	A description of the Paducah-Mayfield, KY-IL MSA	135793
426	Peoria-Canton, IL	A description of the Peoria-Canton, IL MSA	405149
428	Philadelphia-Camden-Vineland, PA-NJ-DE-MD	A description of the Philadelphia-Camden-Vineland, PA-NJ-DE-MD MSA	5833585
430	Pittsburgh-New Castle, PA	A description of the Pittsburgh-New Castle, PA MSA	2525730
438	Portland-Lewiston-South Portland, ME	A description of the Portland-Lewiston-South Portland, ME MSA	591361
450	Raleigh-Durham-Cary, NC	A description of the Raleigh-Durham-Cary, NC MSA	1314589
464	Rochester-Batavia-Seneca Falls, NY	A description of the Rochester-Batavia-Seneca Falls, NY MSA	1131543
466	Rockford-Freeport-Rochelle, IL	A description of the Rockford-Freeport-Rochelle, IL MSA	420215
472	Sacramento--Arden-Arcade--Truckee, CA-NV	A description of the Sacramento--Arden-Arcade--Truckee, CA-NV MSA	1930149
474	Saginaw-Bay City-Saginaw Township North, MI	A description of the Saginaw-Bay City-Saginaw Township North, MI MSA	320196
476	St. Louis-St. Charles-Farmington, MO-IL	A description of the St. Louis-St. Charles-Farmington, MO-IL MSA	2754328
480	Salisbury-Ocean Pines, MD	A description of the Salisbury-Ocean Pines, MD MSA	155934
482	Salt Lake City-Ogden-Clearfield, UT	A description of the Salt Lake City-Ogden-Clearfield, UT MSA	1454259
488	San Jose-San Francisco-Oakland, CA	A description of the San Jose-San Francisco-Oakland, CA MSA	7092596
492	Santa Fe-Espanola, NM	A description of the Santa Fe-Espanola, NM MSA	170482
496	Savannah-Hinesville-Fort Stewart, GA	A description of the Savannah-Hinesville-Fort Stewart, GA MSA	364914
500	Seattle-Tacoma-Olympia, WA	A description of the Seattle-Tacoma-Olympia, WA MSA	3604165
508	Shreveport-Bossier City-Minden, LA	A description of the Shreveport-Bossier City-Minden, LA MSA	417796
512	Sioux City-Vermillion, IA-NE-SD	A description of the Sioux City-Vermillion, IA-NE-SD MSA	156590
516	Spartanburg-Gaffney-Union, SC	A description of the Spartanburg-Gaffney-Union, SC MSA	336209
526	Sunbury-Lewisburg-Selinsgrove, PA	A description of the Sunbury-Lewisburg-Selinsgrove, PA MSA	173726
532	Syracuse-Auburn, NY	A description of the Syracuse-Auburn, NY MSA	732117
534	Toledo-Fremont, OH	A description of the Toledo-Fremont, OH MSA	720980
538	Tulsa-Bartlesville, OK	A description of the Tulsa-Bartlesville, OK MSA	908528
540	Tyler-Jacksonville, TX	A description of the Tyler-Jacksonville, TX MSA	221365
548	Washington-Baltimore-Northern Virginia, DC-VA-MD-WV	A description of the Washington-Baltimore-Northern Virginia, DC-VA-MD-WV MSA	7538385
554	Wausau-Merrill, WI	A description of the Wausau-Merrill, WI MSA	155475
556	Wichita-Winfield, KS	A description of the Wichita-Winfield, KS MSA	607457
558	Williamsport-Lock Haven, PA	A description of the Williamsport-Lock Haven, PA MSA	157958
564	York-Hanover-Gettysburg, PA	A description of the York-Hanover-Gettysburg, PA MSA	473043
566	Youngstown-Warren-East Liverpool, OH-PA	A description of the Youngstown-Warren-East Liverpool, OH-PA MSA	715039
